% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.11	1	3	112	1	1	28	3062
1.11	1	1	112	1	2	28	3062
1.11	1	2	112	1	3	28	3062
1.327	1	3	133	8	1	28	3062
1.327	1	1	133	8	2	28	3062
1.327	1	2	133	8	3	28	3062
1.544	1	3	155	5	1	28	3062
1.544	1	1	155	5	2	28	3062
1.544	1	2	155	5	3	28	3062
1.761	1	3	177	2	1	28	3062
1.761	1	1	177	2	2	28	3062
1.761	1	2	177	2	3	28	3062
1.962	1	3	197	3	1	28	3062
1.962	1	1	197	3	2	28	3062
1.962	1	2	197	3	3	28	3062
1.978	1	3	198	9	1	28	3062
1.978	1	1	198	9	2	28	3062
1.978	1	2	198	9	3	28	3062
2.179	1	3	218	10	1	28	3062
2.179	1	1	218	10	2	28	3062
2.179	1	2	218	10	3	28	3062
2.195	1	3	220	6	1	28	3062
2.195	1	1	220	6	2	28	3062
2.195	1	2	220	6	3	28	3062
2.396	1	3	240	7	1	28	3062
2.396	1	1	240	7	2	28	3062
2.396	1	2	240	7	3	28	3062
2.397	1	3	240	8	1	28	3062
2.397	1	1	240	8	2	28	3062
2.397	1	2	240	8	3	28	3062
2.412	1	3	242	3	1	28	3062
2.412	1	1	242	3	2	28	3062
2.412	1	2	242	3	3	28	3062
2.413	1	3	242	4	1	28	3062
2.413	1	1	242	4	2	28	3062
2.413	1	2	242	4	3	28	3062
2.613	1	3	262	4	1	28	3062
2.613	1	1	262	4	2	28	3062
2.613	1	2	262	4	3	28	3062
2.614	1	3	262	5	1	28	3062
2.614	1	1	262	5	2	28	3062
2.614	1	2	262	5	3	28	3062
2.615	1	3	262	6	1	28	3062
2.615	1	1	262	6	2	28	3062
2.615	1	2	262	6	3	28	3062
2.616	1	3	262	7	1	28	3062
2.616	1	1	262	7	2	28	3062
2.616	1	2	262	7	3	28	3062
2.629	1	3	263	10	1	28	3062
2.629	1	1	263	10	2	28	3062
2.629	1	2	263	10	3	28	3062
2.63	1	3	264	1	1	28	3062
2.63	1	1	264	1	2	28	3062
2.63	1	2	264	1	3	28	3062
2.631	1	3	264	2	1	28	3062
2.631	1	1	264	2	2	28	3062
2.631	1	2	264	2	3	28	3062
2.83	1	3	284	1	1	28	3062
2.83	1	1	284	1	2	28	3062
2.83	1	2	284	1	3	28	3062
2.831	1	3	284	2	1	28	3062
2.831	1	1	284	2	2	28	3062
2.831	1	2	284	2	3	28	3062
2.832	1	3	284	3	1	28	3062
2.832	1	1	284	3	2	28	3062
2.832	1	2	284	3	3	28	3062
2.833	1	3	284	4	1	28	3062
2.833	1	1	284	4	2	28	3062
2.833	1	2	284	4	3	28	3062
2.834	1	3	284	5	1	28	3062
2.834	1	1	284	5	2	28	3062
2.834	1	2	284	5	3	28	3062
2.835	1	3	284	6	1	28	3062
2.835	1	1	284	6	2	28	3062
2.835	1	2	284	6	3	28	3062
2.846	1	3	285	7	1	28	3062
2.846	1	1	285	7	2	28	3062
2.846	1	2	285	7	3	28	3062
2.847	1	3	285	8	1	28	3062
2.847	1	1	285	8	2	28	3062
2.847	1	2	285	8	3	28	3062
2.848	1	3	285	9	1	28	3062
2.848	1	1	285	9	2	28	3062
2.848	1	2	285	9	3	28	3062
2.849	1	3	285	10	1	28	3062
2.849	1	1	285	10	2	28	3062
2.849	1	2	285	10	3	28	3062
3.047	1	3	305	8	1	28	3062
3.047	1	1	305	8	2	28	3062
3.047	1	2	305	8	3	28	3062
3.048	1	3	305	9	1	28	3062
3.048	1	1	305	9	2	28	3062
3.048	1	2	305	9	3	28	3062
3.049	1	3	305	10	1	28	3062
3.049	1	1	305	10	2	28	3062
3.049	1	2	305	10	3	28	3062
3.05	1	3	306	1	1	28	3062
3.05	1	1	306	1	2	28	3062
3.05	1	2	306	1	3	28	3062
3.051	1	3	306	2	1	28	3062
3.051	1	1	306	2	2	28	3062
3.051	1	2	306	2	3	28	3062
3.052	1	3	306	3	1	28	3062
3.052	1	1	306	3	2	28	3062
3.052	1	2	306	3	3	28	3062
3.053	1	3	306	4	1	28	3062
3.053	1	1	306	4	2	28	3062
3.053	1	2	306	4	3	28	3062
3.054	1	3	306	5	1	28	3062
3.054	1	1	306	5	2	28	3062
3.054	1	2	306	5	3	28	3062
3.055	1	3	306	6	1	28	3062
3.055	1	1	306	6	2	28	3062
3.055	1	2	306	6	3	28	3062
3.063	1	3	307	4	1	28	3062
3.063	1	1	307	4	2	28	3062
3.063	1	2	307	4	3	28	3062
3.064	1	3	307	5	1	28	3062
3.064	1	1	307	5	2	28	3062
3.064	1	2	307	5	3	28	3062
3.065	1	3	307	6	1	28	3062
3.065	1	1	307	6	2	28	3062
3.065	1	2	307	6	3	28	3062
3.066	1	3	307	7	1	28	3062
3.066	1	1	307	7	2	28	3062
3.066	1	2	307	7	3	28	3062
3.067	1	3	307	8	1	28	3062
3.067	1	1	307	8	2	28	3062
3.067	1	2	307	8	3	28	3062
3.068	1	3	307	9	1	28	3062
3.068	1	1	307	9	2	28	3062
3.068	1	2	307	9	3	28	3062
3.264	1	3	327	5	1	28	3062
3.264	1	1	327	5	2	28	3062
3.264	1	2	327	5	3	28	3062
3.265	1	3	327	6	1	28	3062
3.265	1	1	327	6	2	28	3062
3.265	1	2	327	6	3	28	3062
3.266	1	3	327	7	1	28	3062
3.266	1	1	327	7	2	28	3062
3.266	1	2	327	7	3	28	3062
3.267	1	3	327	8	1	28	3062
3.267	1	1	327	8	2	28	3062
3.267	1	2	327	8	3	28	3062
3.268	1	3	327	9	1	28	3062
3.268	1	1	327	9	2	28	3062
3.268	1	2	327	9	3	28	3062
3.269	1	3	327	10	1	28	3062
3.269	1	1	327	10	2	28	3062
3.269	1	2	327	10	3	28	3062
3.27	1	3	328	1	1	28	3062
3.27	1	1	328	1	2	28	3062
3.27	1	2	328	1	3	28	3062
3.271	1	3	328	2	1	28	3062
3.271	1	1	328	2	2	28	3062
3.271	1	2	328	2	3	28	3062
3.272	1	3	328	3	1	28	3062
3.272	1	1	328	3	2	28	3062
3.272	1	2	328	3	3	28	3062
3.273	1	3	328	4	1	28	3062
3.273	1	1	328	4	2	28	3062
3.273	1	2	328	4	3	28	3062
3.274	1	3	328	5	1	28	3062
3.274	1	1	328	5	2	28	3062
3.274	1	2	328	5	3	28	3062
3.275	1	3	328	6	1	28	3062
3.275	1	1	328	6	2	28	3062
3.275	1	2	328	6	3	28	3062
3.276	1	3	328	7	1	28	3062
3.276	1	1	328	7	2	28	3062
3.276	1	2	328	7	3	28	3062
3.277	1	3	328	8	1	28	3062
3.277	1	1	328	8	2	28	3062
3.277	1	2	328	8	3	28	3062
3.28	1	3	329	1	1	28	3062
3.28	1	1	329	1	2	28	3062
3.28	1	2	329	1	3	28	3062
3.281	1	3	329	2	1	28	3062
3.281	1	1	329	2	2	28	3062
3.281	1	2	329	2	3	28	3062
3.282	1	3	329	3	1	28	3062
3.282	1	1	329	3	2	28	3062
3.282	1	2	329	3	3	28	3062
3.283	1	3	329	4	1	28	3062
3.283	1	1	329	4	2	28	3062
3.283	1	2	329	4	3	28	3062
3.284	1	3	329	5	1	28	3062
3.284	1	1	329	5	2	28	3062
3.284	1	2	329	5	3	28	3062
3.285	1	3	329	6	1	28	3062
3.285	1	1	329	6	2	28	3062
3.285	1	2	329	6	3	28	3062
3.286	1	3	329	7	1	28	3062
3.286	1	1	329	7	2	28	3062
3.286	1	2	329	7	3	28	3062
3.287	1	3	329	8	1	28	3062
3.287	1	1	329	8	2	28	3062
3.287	1	2	329	8	3	28	3062
3.481	1	3	349	2	1	28	3062
3.481	1	1	349	2	2	28	3062
3.481	1	2	349	2	3	28	3062
3.482	1	3	349	3	1	28	3062
3.482	1	1	349	3	2	28	3062
3.482	1	2	349	3	3	28	3062
3.483	1	3	349	4	1	28	3062
3.483	1	1	349	4	2	28	3062
3.483	1	2	349	4	3	28	3062
3.484	1	3	349	5	1	28	3062
3.484	1	1	349	5	2	28	3062
3.484	1	2	349	5	3	28	3062
3.485	1	3	349	6	1	28	3062
3.485	1	1	349	6	2	28	3062
3.485	1	2	349	6	3	28	3062
3.486	1	3	349	7	1	28	3062
3.486	1	1	349	7	2	28	3062
3.486	1	2	349	7	3	28	3062
3.487	1	3	349	8	1	28	3062
3.487	1	1	349	8	2	28	3062
3.487	1	2	349	8	3	28	3062
3.488	1	3	349	9	1	28	3062
3.488	1	1	349	9	2	28	3062
3.488	1	2	349	9	3	28	3062
3.489	1	3	349	10	1	28	3062
3.489	1	1	349	10	2	28	3062
3.489	1	2	349	10	3	28	3062
3.49	1	3	350	1	1	28	3062
3.49	1	1	350	1	2	28	3062
3.49	1	2	350	1	3	28	3062
3.491	1	3	350	2	1	28	3062
3.491	1	1	350	2	2	28	3062
3.491	1	2	350	2	3	28	3062
