% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.11	1	1	112	1	1	28	9422
1.327	1	1	133	8	1	28	9422
1.544	1	1	155	5	1	28	9422
1.761	1	1	177	2	1	28	9422
1.961	1	1	197	2	1	28	9422
1.978	1	1	198	9	1	28	9422
2.178	1	1	218	9	1	28	9422
2.195	1	1	220	6	1	28	9422
2.395	1	1	240	6	1	28	9422
2.412	1	1	242	3	1	28	9422
2.612	1	1	262	3	1	28	9422
2.613	1	1	262	4	1	28	9422
2.629	1	1	263	10	1	28	9422
2.829	1	1	283	10	1	28	9422
2.83	1	1	284	1	1	28	9422
2.846	1	1	285	7	1	28	9422
2.847	1	1	285	8	1	28	9422
3.046	1	1	305	7	1	28	9422
3.047	1	1	305	8	1	28	9422
3.048	1	1	305	9	1	28	9422
3.063	1	1	307	4	1	28	9422
3.064	1	1	307	5	1	28	9422
3.263	1	1	327	4	1	28	9422
3.264	1	1	327	5	1	28	9422
3.265	1	1	327	6	1	28	9422
3.266	1	1	327	7	1	28	9422
3.267	1	1	327	8	1	28	9422
3.28	1	1	329	1	1	28	9422
3.281	1	1	329	2	1	28	9422
3.282	1	1	329	3	1	28	9422
3.48	1	1	349	1	1	28	9422
3.481	1	1	349	2	1	28	9422
3.482	1	1	349	3	1	28	9422
3.483	1	1	349	4	1	28	9422
3.484	1	1	349	5	1	28	9422
3.485	1	1	349	6	1	28	9422
3.486	1	1	349	7	1	28	9422
3.497	1	1	350	8	1	28	9422
3.498	1	1	350	9	1	28	9422
3.499	1	1	350	10	1	28	9422
3.5	1	1	351	1	1	28	9422
3.501	1	1	351	2	1	28	9422
3.697	1	1	370	8	1	28	9422
3.698	1	1	370	9	1	28	9422
3.699	1	1	370	10	1	28	9422
3.7	1	1	371	1	1	28	9422
3.701	1	1	371	2	1	28	9422
3.702	1	1	371	3	1	28	9422
3.703	1	1	371	4	1	28	9422
3.704	1	1	371	5	1	28	9422
3.705	1	1	371	6	1	28	9422
3.706	1	1	371	7	1	28	9422
3.714	1	1	372	5	1	28	9422
3.715	1	1	372	6	1	28	9422
3.716	1	1	372	7	1	28	9422
3.717	1	1	372	8	1	28	9422
3.718	1	1	372	9	1	28	9422
3.719	1	1	372	10	1	28	9422
3.914	1	1	392	5	1	28	9422
3.915	1	1	392	6	1	28	9422
3.916	1	1	392	7	1	28	9422
3.917	1	1	392	8	1	28	9422
3.918	1	1	392	9	1	28	9422
3.919	1	1	392	10	1	28	9422
3.92	1	1	393	1	1	28	9422
3.921	1	1	393	2	1	28	9422
3.922	1	1	393	3	1	28	9422
3.923	1	1	393	4	1	28	9422
3.924	1	1	393	5	1	28	9422
3.925	1	1	393	6	1	28	9422
3.926	1	1	393	7	1	28	9422
3.927	1	1	393	8	1	28	9422
3.928	1	1	393	9	1	28	9422
3.931	1	1	394	2	1	28	9422
3.932	1	1	394	3	1	28	9422
3.933	1	1	394	4	1	28	9422
3.934	1	1	394	5	1	28	9422
3.935	1	1	394	6	1	28	9422
3.936	1	1	394	7	1	28	9422
3.937	1	1	394	8	1	28	9422
3.938	1	1	394	9	1	28	9422
